2102	134271	"Dutton, Bryan Eugene"	"Bryan Dutton"	"Bryan "	"Dutton"
1498	121549	"Edgar, Robert K."	"Robert K. Edgar"	"Robert "	"Edgar"
1952	121549	"Edgar, Robert K."	"Robert K. Edgar"	"Robert "	"Edgar"
1702	121549	"Edgar, Robert K."	"Robert Edgar"	"Robert "	"Edgar"
1772	139939	"Edmondson, John Richard"	"John R. Edmondson"	"John "	"Edmondson"
1949	170446	"Edwards, David S."	"David S. Edwards"	"David "	"Edwards"
1186	133706	"Edwards, Sean Rowan"	"Sean Edwards"	"Sean "	"Edwards"
2142	107546	"Edwards, Trevor J."	"Trevor Edwards"	"Trevor "	"Edwards"
1802	117159	"Egan, Robert S."	"Robert S. Egan"	"Robert "	"Egan"
1802	179218	"Egan, Robert Shaw"	"Robert S. Egan"	"Robert "	"Egan"
1903	182674	"Egger, Keith N."	"Keith Egger"	"Keith "	"Egger"
1422	164010	"Eggers Ware, Donna M."	"Donna M. E. Ware"	"Donna "	"Ware"
1123	122516	"Eleuterius, Lionel N."	"Lionel N. Eleuterius"	"Lionel "	"Eleuterius"
1995	145817	"Elias, Thomas S."	"Thomas S. Elias"	"Thomas "	"Elias"
1995	100360	"Elias, Thomas Sam"	"Thomas S. Elias"	"Thomas "	"Elias"
1587	100244	"Eliasson, Uno H."	"Uno Eliasson"	"Uno "	"Eliasson"
1373	137720	"Elisens, Wayne J."	"Wayne J. Elisens"	"Wayne "	"Elisens"
1438	128166	"Elix, John Alan"	"John Alan Elix"	"John "	"Elix"
400220	109511	"Elvin, Mark A."	"Mark A. Elvin"	"Mark "	"Elvin"
1333	113606	"Ericson, Lars E."	"Lars E. Ericson"	"Lars "	"Ericson"
1867	121982	"Ertter, Barbara J."	"Barbara Ertter"	"Barbara "	"Ertter"
1867	179718	"Ertter, Barbara Jean"	"Barbara Ertter"	"Barbara "	"Ertter"
2135	111431	"Esslinger, Theodore Lee"	"Theodore L. Esslinger"	"Theodore "	"Esslinger"
1257	143286	"Evans, Dan K."	"Dan K. Evans"	"Dan "	"Evans"
1213	103149	"Farr, David F."	"David Farr"	"David "	"Farr"
1213	176546	"Farr, David Frederick"	"David Farr"	"David "	"Farr"
1844	134069	"Ferren, Wayne R."	"Wayne R. Ferren"	"Wayne "	"Ferren"
1844	180302	"Ferren, Wayne Richter"	"Wayne R. Ferren"	"Wayne "	"Ferren"
1347	190825	"Ferrington, Leonard C., Lichtwardt, Robert W. & López-Lastra, Claudia Cristina"	"Robert W. Lichtwardt"	"Robert "	"Lichtwardt"
1839	190825	"Ferrington, Leonard C., Lichtwardt, Robert W. & López-Lastra, Claudia Cristina"	"Robert W. Lichtwardt"	"Robert "	"Lichtwardt"
1600	140037	"Flatberg, Kjell I."	"Kjell I. Flatberg"	"Kjell "	"Flatberg"
1204	162741	"Flinck, Karl Evert"	"Karl Flinck"	"Karl "	"Flinck"
1823	149111	"Folsom, James Phillip"	"James P. Folsom"	"James "	"Folsom"
1494	103582	"Ford, Bruce Austin"	"Bruce A. Ford"	"Bruce "	"Ford"
1484	126492	"Ford, Donna I."	"Donna I. Ford"	"Donna "	"Ford"
549918	124976	"Forzza, Rafaela Campostrini"	"Rafaela Campostrini Forzza"	"Rafaela "	"Forzza"
1614	135041	"Fournet, Jacques P."	"Jacques Fournet"	"Jacques "	"Fournet"
1037	168784	"Freire, Susana E."	"Susana E. Freire"	"Susana "	"Freire"
1084	110278	"Freudenstein, John V."	"John V. Freudenstein"	"John "	"Freudenstein"
1904	116793	"Froebe, Hans A."	"Hans A. Froebe"	"Hans "	"Froebe"
1590	105126	"Fryday, Alan Michael"	"Alan Fryday"	"Alan "	"Fryday"
1736	150464	"Gabel, Mark L."	"Mark L. Gabel"	"Mark "	"Gabel"
1739	144401	"Gabrielian, Eleonora Tz."	"Eleonora Gabrielian"	"Eleonora "	"Gabrielian"
1651	150194	"Ganders, Fred Russell"	"Fred R. Ganders"	"Fred "	"Ganders"
2146	174633	"Garnock-Jones, Philip John"	"Philip Garnock-Jones"	"Philip "	"Garnock-Jones"
1308	163691	"Gaskin, John F."	"John Gaskin"	"John "	"Gaskin"
1947	126926	"Gentry, Johnnie Lee"	"Johnnie L. Gentry"	"Johnnie "	"Gentry"
1670	119286	"Gibbs, Peter E."	"Peter E. Gibbs"	"Peter "	"Gibbs"
1670	175451	"Gibbs, Peter Edward"	"Peter E. Gibbs"	"Peter "	"Gibbs"
2026	164280	"Gibson, Robert Adams"	"Robert P. Adams"	"Robert "	"Adams"
1440	128334	"Ginns, James H."	"James H. Ginns"	"James "	"Ginns"
1440	177756	"Ginns, James Herbert"	"James H. Ginns"	"James "	"Ginns"
